Date;Open;High;Low;Close;Volume;market_cap;total_volume;Value - Hrate;Value - Uadresses;google_trends
17/05/2016;453.0000;454.9100;451.0000;453.2830;1103.6016;1951591.0;80397.0;1361560.78853;424856;3
18/05/2016;452.7880;455.8800;452.3450;452.3500;1306.2149;1951590.9999999995;276865.00000000006;1361560.78853;393224;3
19/05/2016;453.2900;453.8000;429.0000;429.0000;1400.3989;1951591.0;292838.0;1487094.76194;412831;3
20/05/2016;429.0000;442.6290;427.0610;435.2550;974.5279;1951591.0;298529.00000000006;1168431.59867;372460;3
21/05/2016;439.8000;441.0000;431.0120;438.5510;674.1071;1951591.0;169903.0;1438812.46448;354677;3
22/05/2016;438.5610;442.0000;433.3400;437.4500;2794.5372;1951591.0;103705.00000000001;1361560.78853;354128;3
23/05/2016;437.5200;444.0120;435.5500;442.9900;2893.7346;1951591.0;187310.00000000003;1776788.54673;338084;3
24/05/2016;442.9900;445.7850;441.4800;444.5160;1404.7129;1951590.9999999998;120287.0;1747819.16826;414216;3
25/05/2016;443.0600;449.2100;443.0200;448.3000;615.1859;1951591.0;224841.0;1456454.92276;406728;3
26/05/2016;448.3000;452.4500;445.1900;452.4090;908.6986;1951591.0;5648220.0;1377192.06982;397464;3
27/05/2016;452.4090;477.0000;452.4090;471.4710;1861.1456;1951591.0;687949.0000000001;1357376.35658;364137;3
28/05/2016;471.4710;545.0000;450.5500;522.0000;5187.8258;1951591.0;568214.0000000002;1377192.06982;407566;3
29/05/2016;523.9980;549.0000;470.0000;518.9820;2604.0221;1951591.0;685820.0;1317744.93011;377266;4
30/05/2016;521.3490;540.0000;518.9770;529.0000;925.9075;1951590.9999999998;425349.0;1456454.92276;354651;4
31/05/2016;529.0000;544.5300;510.9650;531.1900;2715.7458;1951591.0;2578470.0;1436639.20952;403738;4
01/06/2016;530.8340;541.7700;485.8950;535.5650;1990.5126;2951591.0;1025869.9999999999;1258297.79041;392767;4
02/06/2016;535.2310;539.6750;531.5230;537.1220;1856.9397;2951591.0;223787.0;1426731.35291;405301;4
03/06/2016;536.9280;576.0300;536.0610;569.0000;2673.1958;2951591.0;2443790.0;1367284.2132;392655;4
04/06/2016;569.3820;588.7100;562.0000;572.4470;2460.6930;2951591.0;421034.0;1406915.63967;402066;4
05/06/2016;573.1210;583.6690;568.0690;574.0740;1174.5782;2951591.0;144037.0;1179034.93747;368869;3
06/06/2016;573.3530;586.2990;573.3530;585.0000;1021.7220;2951591.0;792971.0;1694243.48158;368586;3
07/06/2016;584.9900;589.9100;565.3800;578.2000;3445.0073;2951591.0;296136.0;1684335.62496;414350;3
08/06/2016;578.3000;582.1300;571.7090;581.9800;1349.3815;2951591.0;156872.0;1406915.63967;424994;3
09/06/2016;581.9800;581.9800;571.5960;575.0140;1371.5857;2951591.0;136835.0;1403462.33971;401953;3
10/06/2016;576.2860;581.8000;572.8780;579.7700;1378.9535;2951591.0;218484.0;1608133.93092;426447;3
11/06/2016;580.5740;609.4360;579.2800;609.4210;1674.2025;2951591.0;95704.0;1403462.33971;407301;3
12/06/2016;608.7260;683.0570;603.0000;667.0630;5122.9097;2951591.0;1070000.0;1520417.53468;374995;5
13/06/2016;670.4700;717.7940;659.0010;703.3690;3952.0685;2951591.0;1627600.0;1422954.8722;411623;5
14/06/2016;703.3690;703.9500;647.2640;685.7500;4355.6686;5951591.0;2515830.0;1569148.86592;451922;5
15/06/2016;683.6650;697.5940;671.5780;696.0000;1895.6069;5951591.0;1757170.0;1296253.41;420352;5
16/06/2016;696.0000;776.7090;695.5700;763.0080;5718.0465;5951585.048409;3545150.0;1500925;445830;5
17/06/2016;766.6590;776.0000;702.0000;749.6700;5828.1131;5951585.048409;6175310.0;1452193.67;471278;5
18/06/2016;750.4900;781.1480;728.8670;758.1100;5967.9858;5951585.048409;3762940.0;1452193.67;453509;5
19/06/2016;758.2300;769.9900;745.0300;765.4900;2490.4972;5951585.048409;1391360.0;1549656.33;423334;5
20/06/2016;765.6920;768.8270;725.0200;735.3900;3884.3557;5951591.0;2842820.0;1725089.12;414283;5
