;SVC signal;return;;return of buy only (SVC);return of buy and hold;;return of buy/sell;;;;AdaBoost signal;;return of buy only (adaboost);;return of buy/sell;;;%;
03/02/2020;0;-0,004419558;0;1,012252273;1,121372346;0,004419558;0,906198245;;;;0;0;1,206904115;0,004419558;1,274288577;;20200327;0,006;0,00006
04/02/2020;0;-0,013091544;0;1,012252273;1,10669185;0,013091544;0,918061779;;;;1;-0,013091544;1,191103877;-0,013091544;1,257606172;;20200330;0,006;0,00006
05/02/2020;1;0,049883725;0,049883725;1,062747186;1,161897762;0,049883725;0,96385812;;;;1;0,049883725;1,250520575;0,049883725;1,320340252;;20200331;0,006;0,00006
06/02/2020;1;0,014761568;0,014761568;1,078435001;1,179049195;0,014761568;0,978086177;;;;1;0,014761568;1,268980219;0,014761568;1,339830545;;20200401;0;0
07/02/2020;0;0,004602909;0;1,078435001;1,184476251;-0,004602909;0,973584135;;;;1;0,004602909;1,27482122;0,004602909;1,345997663;;20200402;0;0
08/02/2020;0;0,01068411;0;1,078435001;1,197131325;-0,01068411;0,963182256;;;;1;0,01068411;1,28844155;0,01068411;1,36037845;;20200403;0;0
09/02/2020;0;0,026106892;0;1,078435001;1,228384703;-0,026106892;0,938036561;;;;0;0;1,28844155;-0,026106892;1,324863197;;20200406;0;0
10/02/2020;0;-0,03041608;0;1,078435001;1,191022056;0,03041608;0,966567956;;;;0;0;1,28844155;0,03041608;1,365160342;;20200407;0;0
11/02/2020;0;0,042953879;0;1,078435001;1,242181073;-0,042953879;0,925050113;;;;0;0;1,28844155;-0,042953879;1,30652141;;20200408;0;0
12/02/2020;1;0,008080533;0,008080533;1,08714933;1,252218557;0,008080533;0,932525011;;;;1;0,008080533;1,298852844;0,008080533;1,317078799;;20200409;0;0
13/02/2020;1;-0,010721944;-0,010721944;1,075492976;1,23879234;-0,010721944;0,92252653;;;;1;-0,010721944;1,284926616;-0,010721944;1,302957154;;20200413;0;0
14/02/2020;0;0,012615216;0;1,075492976;1,254419973;-0,012615216;0,910888658;;;;1;0,012615216;1,301136244;0,012615216;1,31939424;;20200414;0;0
15/02/2020;0;-0,044833406;0;1,075492976;1,198180054;0,044833406;0,951726899;;;;1;-0,044833406;1,242801875;-0,044833406;1,260241303;;20200415;0;0
16/02/2020;0;0,001958706;0;1,075492976;1,200526936;-0,001958706;0,949862746;;;;1;0,001958706;1,245236158;0,001958706;1,262709745;;20200416;0;0
17/02/2020;0;-0,022074165;0;1,075492976;1,174026306;0,022074165;0,970830173;;;;0;0;1,245236158;0,022074165;1,290583008;;20200417;0;0
18/02/2020;0;0,049246563;0;1,075492976;1,231843066;-0,049246563;0,923020124;;;;1;0,049246563;1,306559758;0,049246563;1,354139785;;20200420;0;0
19/02/2020;1;-0,056786146;-0,056786146;1,014419875;1,161891446;-0,056786146;0,870605369;;;;1;-0,056786146;1,232365265;-0,056786146;1,277243406;;20200421;0;0
20/02/2020;1;0,000906061;0,000906061;1,015339001;1,162944191;0,000906061;0,871394191;;;;1;0,000906061;1,233481864;0,000906061;1,278400667;;20200422;0;0
21/02/2020;0;0,009335484;0;1,015339001;1,173800838;-0,009335484;0,863259304;;;;1;0,009335484;1,244997014;0,009335484;1,290335156;;20200423;0;0
22/02/2020;0;-0,002609108;0;1,015339001;1,170738265;0,002609108;0,865511641;;;;1;-0,002609108;1,241748682;-0,002609108;1,286968532;;20200424;0;0
23/02/2020;0;0,030620476;0;1,015339001;1,206586827;-0,030620476;0,839009263;;;;0;0;1,241748682;-0,030620476;1,247560943;;20200427;0;0
24/02/2020;0;-0,030388763;0;1,015339001;1,169920145;0,030388763;0,864505717;;;;0;0;1,241748682;0,030388763;1,285472778;;20200428;0;0
25/02/2020;1;-0,036463185;-0,036463185;0,978316508;1,127261131;-0,036463185;0,832983085;;;;1;-0,036463185;1,19647057;-0,036463185;1,238600346;;20200429;0;0
26/02/2020;1;-0,056318962;-0,056318962;0,923218738;1,063774954;-0,056318962;0,786070342;;;;1;-0,056318962;1,12908659;-0,056318962;1,168843661;;20200430;0;0
27/02/2020;1;0,003074015;0,003074015;0,926056726;1,067045015;0,003074015;0,788486735;;;;1;0,003074015;1,13255742;0,003074015;1,172436704;;20200501;0;0
28/02/2020;1;-0,011231494;-0,011231494;0,915655726;1,055060506;-0,011231494;0,779630851;;;;1;-0,011231494;1,119837108;-0,011231494;1,159268489;;20200504;0;0
29/02/2020;1;-0,020409335;-0,020409335;0,896967802;1,033527422;-0,020409335;0,763719104;;;;1;-0,020409335;1,096981977;-0,020409335;1,135608589;;20200505;0;0
01/03/2020;1;0,000457419;0,000457419;0,897378092;1,034000177;0,000457419;0,764068443;;;;1;0,000457419;1,097483758;0,000457419;1,136128038;;20200506;0;0
02/03/2020;1;0,047647556;0,047647556;0,940135965;1,083267759;0,047647556;0,800474437;;;;1;0,047647556;1,149776177;0,047647556;1,190261763;;20200507;0;0
